reviewerID,asin,overall,unixReviewTime
A2DXI15H0CJSY0,0738900370,5.0,1379548800
A2AAHVC9E2Y7JL,0738900370,5.0,1143244800
A110L6QITPVJTP,0738900672,1.0,1090886400
A2RNUPVSNW1ZXX,0738920363,5.0,1016755200
AGEKVD8JPZQMT,0738920363,4.0,1258588800
A1FQ951TEPD8XC,0738921475,5.0,1299110400
A2SOJKZQQKUNBZ,0739060287,3.0,1278979200
A3HD49D8511MFB,0760135002,3.0,1079913600
AEOBOF2ONQJWV,0767804341,3.0,1097884800
ARA8SJ6IQZ1Q,0767804341,5.0,1040947200
A39IY0JU5JI69G,0767816641,5.0,1274400000
AAJTZPX7HDE5U,0769720994,5.0,1093737600
A32ASMR822BFSE,0769721125,5.0,1216339200
APQ8N1UKS1RDC,0780018664,5.0,1187395200
A2B73CL3QSYWLB,0780018664,5.0,1178928000
A2DVISAU15HTK6,0780018664,5.0,1055462400
A2D2Q6LDYM7X4S,0783112793,5.0,1368057600
A1RATZ2OLBMCPZ,0783223234,5.0,1393977600
A35DVTKP3CBYNM,0783223234,4.0,1368835200
A2BBTQXL88P45,0783227477,4.0,1029715200
A196JN53PG0C7R,078322852X,5.0,1221696000
AG8M7ICZ9MFU3,078322852X,5.0,1363996800
A2P7ED0A9AVCDU,078322852X,5.0,1282608000
A3JND9RGSYUAIL,0783233485,5.0,1310342400
A2CL818RN52NWN,0788602136,4.0,1131580800
A2YCGMW0ZKPYZ2,0788602144,4.0,1026086400
A14OKJXPQ7F7GB,0788806270,5.0,1111968000
A8S11VP9Z36D6,0788806270,5.0,1298937600
A29QA79VLQGHY6,0788806270,5.0,1112054400
A1XZ4EAIC71NZV,0788806270,4.0,1371168000
A1QW1D1SCXFYG7,0788806270,5.0,1392595200
A2V1KIEKXRI94W,0788806270,3.0,1348272000
A3O9LMY2DTV2B2,0788806270,5.0,1005955200
AZT60HLHFL0V0,078881172X,5.0,1175040000
A1GSSCO79PJUC9,078881172X,5.0,1379894400
A2V1KIEKXRI94W,078881172X,4.0,1348272000
A1G5R7BCVM5ULQ,0790724960,5.0,1011312000
A11VSW8IG8C161,0790729350,5.0,1372636800
A1W5U6443BKM84,0790729350,4.0,1344470400
A34WLHY06FVBKP,0790729350,5.0,962755200
A3EJVX1AUPECHK,0790729350,3.0,1377648000
A2VIYTWXANL343,0790729350,5.0,1252886400
A3600EP59PMKNK,0790729350,5.0,1365811200
A1G5R7BCVM5ULQ,0790731436,5.0,1006300800
A1BBNGX63YG7PE,0790742624,3.0,1031270400
AKMEY1BSHSDG7,0792836030,5.0,1261612800
A3AT23Y9QQ6JT5,0792836030,5.0,1224633600
A1ZAN7KBME97B3,0792839420,4.0,1380153600
A3IKFS50FTX594,0972179518,5.0,1398988800
A2OXQPVQ4YD4TO,1450734618,4.0,1364428800
